"study","tot","updated_date","submission_center","submission_lab","platform","instrument_model","platform_parameters","study_title","study_url_link","study_alias","submission_date","study_abstract","study_description","year"
"SRP057807",5,"2015-08-10",NA,NA,"ILLUMINA","Illumina Genome Analyzer IIx","INSTRUMENT_MODEL: Illumina Genome Analyzer IIx","Saccharum officinarum cultivar:Q117 Transcriptome or Gene expression",NA,"PRJNA281747",NA,"In planta production of the bioplastic polyhydroxybutyrate (PHB) is one important way in which plant biotechnology can address environmental problems and emerging issues related to peak oil. However, high biomass C4 plants such as maize, switch grass and sugarcane develop adverse phenotypes including stunting, chlorosis and reduced biomass as PHB levels in leaves increase. Here we explore limitations to PHB accumulation in sugarcane chloroplasts using a Systems Biology approach, coupled with a metabolic model of C4 photosynthesis. Decreased assimilation was evident in high PHB-producing sugarcane plants, which also showed a dramatic decrease in sucrose and starch content of leaves. A subtle decrease in the C/N ratio was found which was not associated with a decrease in total protein content. An increase in amino acids used for nitrogen recapture was also observed. Based on the accumulation of substrates of ATP-dependent reactions we hypothesised ATP starvation in bundle sheath chloroplasts. This was supported by mRNA differential expression patterns. The disruption in ATP supply in bundle sheath cells appears to be linked to the physical presence of the PHB polymer which may disrupt photosynthesis by scattering photosynthetically active radiation and/or physically disrupting thylakoid membranes.",NA,"2015"
"SRP035498",5,"2014-02-04","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"GSE54184",NA,"Analysis of  gene expression level. The hypothesis tested in the present study was that fl4 mutant influence the ER stress pathway. Results provide important information of the gene expression level regulation of different ER stress pathways and apoptosis Overall design: Endosperm mRNA profiles of 19DAP wild type (WT) and fl4 mutant were generated by deep sequencing, in triplicate, using Illumina Hiseq 2000 (Zea mays).",NA,"2014"
"SRP012317",5,"2013-07-29","GEO",NA,"ILLUMINA","Illumina Genome Analyzer IIx","INSTRUMENT_MODEL: Illumina Genome Analyzer IIx","Zea mays Transcriptome or Gene expression",NA,"GSE37411","2012-04-18","Small RNAs (sRNAs) are hypothesized to contribute to hybrid vigor because they maintain genome integrity, contribute to genetic diversity, and control gene expression. We used Illumina sequencing to assess how sRNA populations vary between two maize inbred lines (B73, Mo17) and their hybrid. We sampled sRNAs from the seedling shoot apex and the developing ear, two rapidly growing tissues that program the greater growth of maize hybrids. We found that parental differences in siRNAs primarily originate from repeat regions. Although the maize genome contains greater number and complexity of repeats compared to Arabidopsis or rice, we confirmed that like these simpler plant genomes, 24-nt siRNAs whose abundance differs between maize parents also show a trend of downregulation following hybridization. Surprisingly, hybrid vigor is fully maintained when 24-nt siRNAs are globally reduced by mutation of the RNA-dependent RNA polymerase2 (RDR2) encoded by modifier of paramutation1 (mop1). We also discovered that 21-22nt siRNAs derived from a number of distinct retrotransposon families differentially accumulate between B73 and Mo17 as well as their hybrid. Thus, maize possesses a novel source of genetic variation for regulating both transposons and genes at a genomic scale, which may contribute to its high degree of observed heterosis. Overall design: sRNA libraries were derived from RNA isolated from the seedling shoot apex and developing ear tissues from B73, Mo17, B73xMo17 and Mo17xB73. The shoot apex was chosen because it is enriched for meristematic tissue where cell proliferation occurs, rates of organ initiation are determined, and organ size is specified. The developing ear was examined because it is enriched in meristematic tissue and is undergoing rapid growth, and also because the mature ear shows the highest degree of heterosis. Total RNA was isolated and separated on a 15% TBE-Urea polyacrylamide gel. Using a 10-bp ladder, the sRNA fraction representing 10-40-bp was excised. sRNA libraries were prepared according to Lu et al. (2007) or manufacturer's instructitions (Illumina). A combination of Perl scripts and FASTX toolkit scripts were used to remove adapters, collapse identical sequences and count reads per sequence. Supplementary processed data text files contain the distinct sRNA sequences for all of the genotypes analyzed in that experiment. Abundance (reads per million) was calculated for each distinct sequence by dividing the number of reads of distinct sRNA in a library by the total number of sRNA reads for that library and multiplying this by 1 million. Genome builds: B73 genome, maizesequence.org release 4a.53 (October, 2009); Mo17 whole genome shotgun clones.",NA,"2013"
"SRP002265",4,"2016-03-23","Cornell University",NA,"ILLUMINA","Illumina Genome Analyzer","INSTRUMENT_MODEL: Illumina Genome Analyzer","Zea mays subsp. maysTranscriptome or Gene expression",NA,"B73dev","2010-03-25","The goal of this study is to define gene structure, alternative splicing events and to quantify transcript abundance along a leaf developmental gradient and in mature bundle sheath and mesophyll cells. Differential mRNA processing events were detected for the majority of annotated maize genes.",NA,"2016"
"SRP009078",4,"2015-10-22","GEO",NA,"ILLUMINA","Illumina Genome Analyzer","INSTRUMENT_MODEL: Illumina Genome Analyzer","Zea mays Transcriptome or Gene expression",NA,"GSE33211",NA,"To identify novel miRNA and NAT-siRNAs that are associated with abiotic stresses in maize, we generated small RNA sequences from maize seedlings that grew under control and under dought, salt, and cold stress treatments. Overall design: Sequencing of small RNAs in maize under control, drought, salt, and cold stress conditions.",NA,"2015"
"SRP016000",4,"2015-09-09","Guizhou University",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Cnaphalocrocis medinalisTranscriptome or Gene expression",NA,"PRJNA176595","2012-09-19","The C. medinalis transcriptome and DGE data provide a comprehensive and global gene expression profile that would further promote our understanding of the molecular mechanisms underlying various biological characteristics, including development, elevated fecundity, flight, sex differentiation, olfactory behavior, and insecticide resistance.",NA,"2015"
"SRP034962",4,"2015-01-04",NA,NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Epigenetic variation through the breeding processes of maize",NA,"PRJNA233536",NA,"The concurrent epigenetic changes during this period of remarkable improvement in maize grain yield remain unknown. Here, we performed MethylC-seq and RNA-seq on 4 related inbred lines with known pedigree information. Analysis of epigenetic changes over the course of historical maize breeding is a valuable new avenue in the exploration for crop improvement. These data lead us to suggest that novel epihaplotypes, in addition to DNA variation, are a substrate of selection during breeding, and that epigenetic variation between parents may also contribute to heterosis in hybrids.",NA,"2015"
"SRP055994",4,"2015-10-28","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Differential RNA-seq of Plant Beneficial Rhizobacterium Bacillus amyloliquefaciens FZB42 Reveals sRNA Bas01 involved in Sporulation and Biofilm Formation",NA,"GSE66681",NA,"Bacillus amyloliquefaciens FZB42 is a representative organism for Gram positive soil bacteria associated with plant roots and beneficial to plant growth. It is of immense importance to understand mechanisms of this class of bacteria adapting to rhizosphere. In this work employing differential RNA sequencing (RNA-seq) and Northern blot, we systematically identified transcription start sites of mRNAs as well as non-coding regulatory RNAs in FZB42. The genes regulated at different growth phases and located in polycistronic operons were also identified. A set of genes were re-annotated. In addition, a sRNA named Bas01 was identified to be involved in Bacillus sporulation and biofilm formation. The result we obtained provides valuable data for investigation of Bacillus gene expression and molecular details of rhizobacterial interaction with host plants. Overall design: Examination of transcriptome profile of rhizobacterium B. amyloliquefaciens FZB42 grown under six conditions.",NA,"2015"
"SRP058002",4,"2015-05-11","GEO",NA,"ILLUMINA","Illumina MiSeq","INSTRUMENT_MODEL: Illumina MiSeq","RNA-Seq gene expression profiling in the plant growth promoting Bacillus atrophaeus UCMB-5137 revealed an alternative strategy of plant colonization compared to Bacillus amyloliquefaciens endophytes",NA,"GSE68543",NA,"Plant growth promoting rhizobacteria (PGPR) of the genus Bacillus are successfully used as biofertilizers and biopesticides. They potentially can reduce the use of chemicals in agriculture as an ecologically safe alternative, but to optimize the application of PGPR, more profound knowledge on specific gene regulation and molecular mechanisms of interaction with plants is needed. Advance in sequencing technologies made it affordable to compare transcriptom profiles of relative organisms to check to which extend PGPR strains or closely related species differ in their strategies of plant colonization. This work aimed at analysis of gene regulation in a biotechnological strain Bacillus atrophaeus UCMB-5137 to compare it with the gene expression profile of a generally recognized PGPR strain B. amyloliquefaciens FZB42. It was found out that despite the close taxonomic relatedness, these two organisms developed ability to colonize plants independently and use different strategies of plant colonization. Root exudate has triggered in UCMB-5137 alteration in expression in many genes controlled by stress response transcription factors (TF) SigB and SigD, while SigF, SigH, SigW, CcpA and several other TFs regulated genes associated with quorum sensing and biofilm formation, and adjusted the carbohydrate metabolism. Counting to peculiarities of gene regulation in different PGPR strains will allow optimization of their practical application. Overall design: Examination of 2 experimental samples grown on liquid medium with maize root exudate and 3 control samples",NA,"2015"
"SRP059874",4,"2015-11-04","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Genome-wide mapping of Zea maize TSSs",NA,"GSE70251",NA,"Genome-wide mapping of the TSS in root and shoot from two maize lines B73 and Mo17 Genome-wide locations and dynamics of maize core promoters obtained from the experimental establishment of the TSSs coordinates. The work derived from this data it is the first genome-wide atlas of core promoters and its dynamic generated for an important crop species. Overall design: Four samples each one with biological replicates. Comparisons were done between B73 and Mo17 for each of the tissues and between tissues for each line",NA,"2015"
"SRP008109",4,"2014-05-31","GEO",NA,"ILLUMINA","Illumina Genome Analyzer","INSTRUMENT_MODEL: Illumina Genome Analyzer","Zea mays Transcriptome or Gene expression",NA,"GSE31944",NA,"We report the application of single-molecule-based sequencing technology for high-throughput profiling of transcriptome in mazie plants. The ZmPIS gene coding PtdIns synthase from maize with a maize ubiquitin promoter was transferred into maize. The transgenic ZmPIS maize showed enhanced drought tolerance compared to non-transgenic maize. The differentially expressed genes between wide-type maize and transgenic ZmPIS maize were detected by the assay of digital gene expression profile and real time RT-PCR datas. The results displayed that the overexpression of ZmPIS resulted in the expression levels changes of a large number of genes including genes involved in the phosphatidylinositol (PI) metabolic pathway, photosynthesis metabolism, carbohydrate metabolism, aminoacid metabolism and genes coding transcription factors. Overall design: Examination of The differences of the transcriptional profile between wide-type maize and transgenic ZmPIS maize and analysis of the network regulated by the ZmPIS gene",NA,"2014"
